shift,teacher,subject,class,per_week_first,per_week_second
1,65,31,11,2,
1,65,31,13,2,
1,65,31,14,2,
1,66,22,1,2,
1,66,22,2,2,
1,66,22,3,2,
1,66,22,4,2,
1,66,22,5,2,
1,66,22,6,2,
1,66,22,7,2,
1,74,64,9,3,
1,74,64,8,3,
1,74,88,5,3,
1,74,88,7,3,
1,77,64,3,3,
1,77,64,6,3,
1,78,64,4,3,
1,78,64,5,3,
1,78,64,7,3,
1,79,64,10,3,
1,79,64,11,3,
1,79,64,12,3,
1,79,64,13,3,
1,79,64,14,3,
1,79,64,15,3,
1,83,65,8,2,
1,83,65,8,2,
1,83,65,9,2,
1,83,65,9,2,
1,83,65,11,2,0
1,83,65,11,2,0
1,81,65,10,2,0
1,81,65,12,2,0
1,81,65,14,2,0
1,83,65,10,2,0
1,83,65,12,2,0
1,83,65,14,2,0
1,83,65,13,2,0
1,83,65,15,2,0
1,84,65,13,2,0
1,84,65,15,2,0
1,86,66,8,2,
1,86,66,10,2,
1,86,66,12,2,
1,86,66,14,2,
1,87,66,9,2,
1,87,66,11,2,
1,87,66,13,2,
1,87,66,15,2,
1,88,67,9,3,
1,88,67,10,3,
1,88,67,13,3,
1,90,67,5,3,
1,90,67,1,3,
1,90,67,2,3,
1,90,67,3,3,
1,91,67,0,3,
1,91,67,4,3,
1,92,67,11,3,
1,92,67,12,3,
1,92,67,14,3,
1,92,67,15,3,
1,93,67,8,3,
1,94,67,6,3,
1,94,67,7,3,
